句子索引,行号,原始文本
1472,2954,"任何研究都不能不带有
一定的理论性，必要的书本知识，可以保证研究的深度。"
1473,2954,"为了掌握研
究课题的最新动态和发展趋势，应该经常阅读有关的报纸和杂志，从
中发现新情况新观点。"
1474,2954,这对选准目标，运用材料是至关重要的。
1475,2961,对于研究工作，科学方法的作用不亚于知识的作用。
1476,2961,教学讲方
1477,2962,法，研究也讲方法。
1478,2962,"科学的方法对于材料的积累、 知识的运用，以及
观点的确立，可以起主导作用，它可以为研究工作铺平道路。"
1479,2965,方法一般分成三个层次。
1480,2965,一个层次是哲学方法。
1481,2965,"它是一种以哲学
原理为基础，并且适用于一切研究的方法。"
1482,2965,"社会科学的研究一距也离
不开哲学方法，它受哲学方法的指导。"
1483,2965,"另一个层次是一般的方法，它
是从各门学科研究中概括出的具有共同性的方法，比如观察、 实验、
比较、 分析、 综合、 调查、 统计以及控制论方法、 系统论方法等。"
1484,2965,"掌
握这类一般方法，可以更好地完成研究任务。"
1485,2965,"这些方法在语文教学研
究中都有实用价值。"
1486,2965,"再一个层次是具体方法，即适用于某一学科的特
殊方法。"
1487,2965,"语文学科研究的具体方法，迄今还是一般方法的具体化、 如
语文教材统计法、 阅读心理实验法、 写作过程分析法等。"
1488,2965,"以上三个层
次的方法，是从事语文教学研究必须采用的方法。"
1489,2976,"(三) 严谨的态度和踏实的作用
严谨的态度和踏实的作风是从事研究的另一必备条件。"
1490,2976,"研究活动
是科学活动，科学需要严谨和踏实。"
1491,2976,"为了完成一项目标，写成一篇论
文，往往需要长期实践，反复钻研，甚至初稿形成之后，还需要再实
践、 再思考。"
1492,2976,"对研究工作的评价，不单要看研究了什么和研究到什么
程度，还要看研究的态度和作风怎么样。"
1493,2983,"要做到长远目标和严谨踏实作风的统一，一方面要想得远些，可
以有个较大的目标，避免漫无计划; 一方面要踏踏实实，一步步走下
去。"
1494,2983,"或是先研究较易完成的独立课题，或者把为完成一个大任务所需
要的工作过程分解为若干阶段来完成，通过一个个小任务的完成，逐
渐完成大任务。"
1495,2983,"这样做，容易看到成果，有利于产生成就感和胜
任感。"
1496,2990,"三、 研究工作的程序
每一项工作都有它的程序。"
1497,2990,"研究工作的具体步骤可能因题因人而
异，一般来说，确立目标、 收集材料、 撰写论文，是三个前后联结的
程序。"
1498,2996,"(一) 目标的确定
研究工作的起点，是确定研究目标。"
1499,2996,"研究什么，往哪里努力，肯
定下来之后，知识和经验的积累，才可能成为最有效的积累。"
1500,2999,确定目标的根据是社会需要和实际可能。
1501,3001,"从社会需要这一方面看，语文教学领域中值得研究的课题多得不
可胜数，下列内容范围都可以涉及 1. 语文教学或同语文教学密切关
联的学科的课题; 2. 语文教学的现实或历史问题; 3. 语文教学的理
论或实际问题; 4. 语文教学中新提出的课题或从新的角度去研究的
问题等等。"
1502,3007,"语文教师的研究领域，不限于语文教学，作为基础学科的语言
学、 文学、 教育学、 心理学应该研究，作为邻近学科的哲学、 政治、
历史也可以研究，至于关系密切的新兴学科 (控制论、 系统论、 信息
论等) 更应该研究。"
1503,3007,"不过，对多数人来说，直接研究本职工作，可能
是最恰当的目标，也是最现实的方案。"
1504,3007,"如果能在本职工作范围内提出
课题 (如语文教学心理问题、 语文教育控制问题等)，或从新的角度
研究本职工作中的问题 (如从类聚原则研究语文教材的编写问题，从
系统的观点研究语文教学中信息的输出和输入问题等)，当属最好的
选择。"
1505,3017,"从实际可能这一面看，不外是要考虑两方面因素内部因素和外部
因素。"
1506,3017,内部因素主要是个人的意志和研究能力、 分析判断和推理能力
1507,3019,以及文字表达能力。
1508,3019,"这是内在基础条件，只有研究能力和研究目标相
适应，目标才可能实现。"
1509,3019,外在因素主要是工作环境。
1510,3019,"对语文教师的研
究来说，工作环境又主要是时间条件和图书资料条件。"
1511,3024,"已经具备上述两方面因素的，自然可以从事研究，一时不具备但
比较接近的，也可以开始探索。"
1512,3024,"能力可以培养，没有研究能力的可以
发展为研究能力。"
1513,3024,"外部因素也是可以改变的，而且工作环境的影响是
以内部条件为转移的。"
1514,3024,"逆境中出成果、 出人才，许多优秀语文教师就
是在不利的环境中从事研究，并作出贡献的。"
1515,3030,"(二) 材料的掌握
研究目标确定之后，第二步的工作就是掌握材料。"
1516,3030,"这是研究工作
中的一项基本建设，是一项长期的持续的工作。"
1517,3034,做好积累材料工作有着多方面的意义和作用。
1518,3034,"研究工作需要它，
教学工作需要它，个人积累知识也需要它。"
1519,3034,"比较起来，它对研究工作
的意义更大，它是研究工作的基础和起点。"
1520,3038,"材料包括两方面内容理论性和感性的，前者多来自书面文字，后
者多来自实践。"
1521,3038,这两类材料同等重要。
1522,3038,"掌握材料的工作，自然不需要
都亲手去做，图书馆、 资料室的现成材料，可以利用，但个人应尽可
能积累材料，这是图书馆、 资料室所不能代替的。"
1523,3038,"个人资料，一是用
起来方便; 二是完全按照个人的需要积累，使用价值大; 三是做资料
的过程是个人提高的过程。"
1524,3045,材料工作的种类包括索引、 目录、 文摘、 提要等。
1525,3045,"材料工作要求
养成广采博览，善于从宽阔的领域中摘取材料，和在阅读、 实践的过
程中及时记笔记的习惯。"
1526,3049,"(三) 论文的撰写
研究工作进行到最后阶段，需要用文字形式把研究成果表现出"
1527,3051,来，这就要求撰写论文。
1528,3051,这项工作是建筑在定题和选材基础上的。
1529,3051,"题
目选得恰当，材料备得充分，只要再善于构思，就会整理出头绪，拟
写出结构纲目，以至落笔成文了。"
1530,3051,"但是撰写论文本身也并不容易，即
使抛开往往需要进一步立意和选材方面的工作不论，仅仅是结构安排
和文字表达这两项，就是很费力的，也是极见功夫的。"
1531,3051,"初稿只是个半
成品，为使它结构清晰醒目，文字明白达，就需要琢磨加工，有时要
反复多次才能完成。"
1532,3060,"以上程序是在一般情况下开展研究工作的程序，特殊的情况也
有。"
1533,3060,"一般是确立目标在前，收集材料在后，但也有收集材料在前，待
到材料达到一定数量时，才通过材料的积累和整理明确了研究课题
的，不过这是极少见的情况，并且往往是费时费力的不经济的做法。"
1534,3064,(原载 《中学语文》 1982 年第 10 期)
1535,3066,"一、 作文教学过程的特点
作文教学过程有它自己的特点。"
1536,3066,"依据它的特点进行
教学，是使作文教学获致成功的所在。"
1537,3066,"作文教学过程的
特点是什么? 我以为主要的可以列举如下一些:
第一，作文教学过程，是指导学生自己写文章的过
程，它和讲读教学指导学生学习作家写文章的过程不
同，它处处会反映出学生自己。"
1538,3066,"在整个过程中，呈现在
教师面前的，既有文字表达能力，又有思想认识，还有
生活经验。"
1539,3066,"这个特点，决定了作文教学的全面性，要求
教师具有正确的教学观。"
1540,3077,第二，作文教学是指导学生表达的过程。
1541,3077,"它和讲读教学指导学生
吸收的过程不同。"
1542,3077,"指导学生阅读文章，首先映入学生眼帘的是语言文
字，进而理解别人的思想和经验; 指导学生写文章的过程正好相反，
学生首先要思考的，是表达什么样的思想和经验，其次才是用什么样
的语言文字去表达的问题。"
1543,3077,"这个特点，决定了作文过程的特殊阶段
性，要求教师掌握它的起点、 经过和终点的各自特点。"
1544,3084,"第三，在读、 写、 算三种基本能力的过程中，作文能力是最难于
养成的能力，因而需要更长时间的训练。"
1545,3084,"这个特点，决定了作文教学
的艰巨性，要求教师具有坚持不懈的工作精神。"
1546,3088,第四，作文教学过程，还是多阶段的一环扣一环的过程。
1547,3088,"前一环
是后一环的必要前提，后一环是前一环的合理发展。"
1548,3088,"这个特点，决定
了作文教学的完整性和连续性，要求教师做出科学的安排。"
1549,3092,以上四个特点，贯穿于作文教学的始终。
1550,3092,"作文教学每一阶段的要
求、 内容和方法，都应和这些特点相符合。"
1551,3095,"作
文
教
学
过
程
试
探"
1552,3105,"二、 作文前指导的作用和内容
作文前的指导至关重要。"
1553,3105,这一步指导得切实，既有效又经济。
1554,3108,第一，有效。
1555,3108,"学生动笔作文前，通常是思考得紧张的时候，这时
比其他任何时候都更需要教师的指导。"
1556,3108,"当他们不知写什么、 怎么写的
时候，给予必要的指引，必能激起写作的最大兴趣，收到最好的效
果，无疑的，由于作文前的指导切实，导致作文好而受到鼓勵，这比
因指导不力，导致作文不好而受到批评，会更利于作文的上进，和鼓
舞作文的信心。"
1557,3115,第二，经济。
1558,3115,"作文前的指导，面对的主要是班级集体，只要指导
得法，就能较好地提高全班的作文质量，这样既节省时间精力，提高
效率，又可摆脱沉重的批改负担，争得主动。"
1559,3115,"通常，作文批改所以占
去大量时间，原因之一，是作文前缺乏指导，导致学生作文中出现大
量毛病。"
1560,3121,"作文前指导的内容包括: 为什么写、 写什么、 怎么写:
明确为什么写，是阐释用意所在，自然是至关重要。"
1561,3121,"但是最具有
实际意义的，是写什么和怎么写的指导，"
1562,3124,"写什么的问题，多半是学习写作中的第一关，是普遍感到不易跨
越的一关。"
1563,3124,有时他们不知怎么写，其实也多半还是由于不知写什么。
1564,3127,"因此，可以说，指导写什么，是写前指导的基本环节之一、 指导好这
一环节，也就走出了切实的一步。"
1565,3130,"要解决写什么问题，就要指导学生进行观察，展开联想、 重视记
忆和扩展思考。"
1566,3133,怎么写的问题，也是学生普遍感到困难的一少。
1567,3133,"写什么的问题解
决了，怎么写的问题就自然地成了主要矛盾，教师指导的焦点也就应
该集中到怎么写上面了。"
1568,3137,"三、 作文过程中指导的内容的作用
学生执笔作文过程中，还要不要指导? 在以前的作文教学研究者
中，很少有人提出要有这么一个指导阶段的。"
1569,3137,"这可能是因为，执笔作
文的过程，是学生个人思考、 书写的过程，于是便认为教师只有等着
批改了。"
1570,3137,"其实，在这一过程中，给以切实指导，也是提高作文质量和
效率的重要一步。"
1571,3145,"在作文过程中，指导什么，可以提出什么要求? 我以为，除可继
续就取材、 立意和构思、 文体等方面给以指导外，同时也有必要就书
写格式和学生提出的问题给以指导。"
1572,3145,"在写作过程中就注意养成好的书
写态度和写作习惯，要比到了批改时再去纠正不良的态度和习惯，从
指导的效果和效率两方面看，都不知要好多少! 这一阶段的指导内
容，还应包括指导学生自行修改草稿。"
1573,3145,"修改是作文的一个阶段，这个
阶段，人们写作不可少，学生作文也不可少，它的教育作用，不可谓
不明显:"
1574,3153,"第一，文不厌改，越改越提高，学生自己动手修改草稿，其提高
效果可能不比写草稿小;"
1575,3156,"第二，学生自己动手修改，更能使学生感受到写作的甘苦，并体
会到修改的方法;"
1576,3159,"第三，可以培养严肃认真的写作态度，克服敷衍了事的作风;
第四，经过学生自己修改过的作文，毛病少了，可以减轻教师的
负担，提高批改的效率。"
1577,3164,学生的修改，是不是改一次而止? 自然可以改一次。
1578,3164,"但作文可以
重作，修改也可以多次，直至学生自己无可修改而后止。"
1579,3167,"学生的修改包括改正文字、 符号和书写格式的错误，修改层次和
脉络上的明显毛病，以及内容的不足和重复多余等。"
1580,3170,修改可以包括大修改，也可以指导重作。
1581,3170,"把一个文题只作一次的
既有模式，发展为一个文题多次作，既能显著提高作文质量，又能显
著提高批改效率，是很有价值的方法。"
1582,3175,"指导学生动手修改的具体做法可以是: 学生写出草稿后，首先让
他们重读自己的作文，接着标上各种标记，以为改正的目标。"
1583,3175,"再就是
让他们自己动手改正文章，和在同学中交换作文，互提改正意见。"
1584,3175,"最
后，可在教师指导下，共同推敲一篇作文。"
1585,3175,"这样的指导法，既可使学
生获得作文要领，又可获得修改作文的要领。"
1586,3175,"这比起空讲修改作文的
重要性来，其效果不知要好多少倍!"
1587,3181,"四、 作文后指导的内容和作用
作文后的指导，一般包括批改和讲评两个步骤，它们的教育作
用是:"
1588,3185,"第一，作文后的指导是本次作文后的指导，又是下次作文前的指
导，它能总结过去，指导未来，它是连结两次作文之间的桥梁;
第二，作文的批改和讲评，是以学生个人为对象的，指导的方式
也就由集体指导变为个别指导，因而也就能够从每个学生的实际出
发，给以直接的帮助;"
1589,3191,"第三，作文的批改和讲评，是以每个学生的作文为根据，它具有
对学生个人评价和鉴定的性质，不单是对写作能力的评价，还包括对
思想和态度的鉴定，这就使作文后的指导具有更大的作用;"
1590,3195,"第四，作文后的指导，不仅可使学生知道应该怎样写，而且知道
不该怎样写。"
1591,3195,这可引导学生从正反两方面的经验中得到提高。
1592,3199,"那么，怎样才能使作文后的指导既富成效而又经济呢?
第一，要发扬学生的创造性思考，指导学生能够自己修改、 自己
评价。"
1593,3203,有两种指导法，都不利于提高作文的质量和效率。
1594,3203,"一是教师改和
评得不够。"
1595,3203,"对学生已经写出的作文，既不给予必要的批改，也不提出
启发性的问题和做出应有的评价，使学生得不到要领。"
1596,3203,"一是教师改和
评得过多，务期把话说尽，使学生处于被动状态"
1597,3208,"观察作文教学的历史，作文批改和讲评是比较缺少创造性、 比较
倾向保守的。"
1598,3208,"许多热心负责的教师还在因袭详批细改的方法，劳动量
远超出其他学科的作业批改之上。"
1599,3208,"但从效果看，却往往是最少成效
的。"
1600,3208,"现在已有众多教师认识到，与其都由教师改和评，不如指导学生
自己动脑动手的好。"
1601,3208,"在教师指导下，学生再思考、 再创作，效果必
大，效率必高。"
1602,3216,第二，要热情鼓励学生，使学生喜欢写作，力争上进。
1603,3217,"作文，是学生的世界观、 品格、 生活经历，和语文能力的全面的
自我表现。"
1604,3217,"这种自我表现，要比在讲读教学中的表现多而且深，这就
给教师提出了一个如何对待的原则问题。"
1605,3221,"热情鼓励，就可能促使学生积极上进; 冷漠批评，就可能促使学
生消极后退，因此，我们的立脚点，自然要放在鼓励积极上进。"
1606,3221,"而这
又主要体现在教师的评语和评分上。"
1607,3225,学生对教师的改笔可能不大留意，但重视评语。
1608,3225,"他们重视教师对
作文的评价，更重视从评语中反映出来的教师对本人的态度。"
1609,3225,"为了多
鼓励，教师就要善于沙里拣金，发现哪怕是一点点长处。"
1610,3225,"当然，肯定
和鼓励，都要合乎实际，肯定的程度。"
1611,3225,"鼓励的分寸，都要和客观相一
致。"
1612,3225,即使批评，也要立足于鼓励，批评中包含热情。
1613,3231,"作文教学过程和讲读教学过程一样，既是变动的，又是相对稳
定的。"
1614,3234,作文教学过程的变的一面，表现为实际进程中的差异性。
1615,3234,"每次作
文的题目不同、 要求不同，学生写作不同文题的认识基础和生活基础
不同，每次作文教学的过程也就应该不尽相同。"
1616,3238,作文教学过程的不变的一面，就是规律性的运动。
1617,3238,"不管每次作文
的题目和要求有何不同，学生的认识和生活有何不同，它总得朝着一
个既定的方向，循着一条能够达到目的的途径，经历一个个阶段向前
推进。"
1618,3238,有了这一面，它才成为有规律可以遵循的过程。
1619,3238,"我们的任务，
就是依据它的一般规律，捕捉相对稳定的状态，以充分发挥每一阶段
的教育作用。"
1620,3246,(原载 《语文教学通讯》 1983 年第 3 期)
1621,3247,我们大概会一致同意: 语文教学必须改革。
1622,3249,"我们大概也会一致同意: 语文教学改革的主要课题
之一，是改革课堂教学方法。"
1623,3251,"我们大概还会一致同意: 课堂教学改革的方向，应
该是使学生学得积极主动、 生动活泼。"
1624,3253,"但在运用具体方法的问题上，我们的意见就未必完
全一致了。"
1625,3255,"我们的观念是，要给学生更多的思考、 分辨、 评价
和鉴赏的机会; 我们的态度是，提倡更多的课堂提问和
课堂讨论。"
1626,3255,"这里，我们想从探讨教师讲授法的特质开
始，进而着重探讨课堂提问法和课堂讨论法的特质，然
后以课堂教学的改革趋势和引证权威性的看法做结。"
1627,3260,"一、 教师讲授法的特质
我们目前还在盛行教师讲授的方法，“先生讲，学生听”，几乎到
处可见。"
1628,3260,"那么，讲授法的特质是什么? 我们应该在怎样的范围内和在
多大程度上使用它?"
1629,3264,教师讲授法，是有其独特价值的。
1630,3266,(一) 它可传授新知识，并使知识具有完整性、 系统性。
1631,3266,"这是它
的最大价值所在;"
1632,3268,(二) 能保证教学时间的经济有效。
1633,3268,"教师的一句话可能顶学生的
许多句话。"
1634,3268,一句就讲清问题要比无益的提问有价值得多。
1635,3268,"这是它的另
一主要价值所在;"
1636,3272,(三) 可以面对全班学生，把同一内容同时教给学生。
1637,3274,"正是这三个长处，使教师讲授法成为历史最长、 流行最广的教学
方法。"
1638,3274,但是，它有严重的缺欠:
1639,3277,"我
们
提
倡
课
堂
提
问
和
课
堂
讨
论"
1640,3292,(一) 不利于信息交流。
1641,3292,"只从教师方面输出信息，易使学生处于
被动状态。"
1642,3292,"现代心理实验证明，学生收获的大小，固然由教师的教学
来决定，但衡量教学效果的标准，并不是教师输出的多少，而是学生
有效输入的多少。"
1643,3292,"如果只是单方面的输出，阻塞了主要的反馈回路，
就使教和学失去了联络。"
1644,3292,这是讲授法的一个致命的弱点;
1645,3298,(二) 不利于能力的发展。
1646,3298,"教师讲授多，学生思考和练习机会就
少。"
1647,3298,"这从语文科本是思考的学科这一点来说是极不可取的; 从语文这
种非经反复练习便不能掌握的工具来说，也是极不可取的。"
1648,3303,"仅仅以上两点，就足以表明，传递知识的讲授法，在中小学里不
可多用，更不可滥用。"
1649,3303,"只应在传授新知识等较少的场合，并且有节制
地运用。"
1650,3303,"但它为什么还在被普遍地过度地采用呢? 考其原因，可
能是:"
1651,3307,(1) 保守观念。
1652,3307,"就是仍然认为教师是教学的领导者、 管理者，是
教学的主体和中心，知识应该由教师来传递;"
1653,3310,(2) 习惯势力。
1654,3310,"教师作为实际工作者，往往根据自己的经验进行
教学，一般不大愿意改变他的教学结构，更不愿改变习惯了的方法;
(3) 怕麻烦。"
1655,3310,"讲授法最为简便可行，凡是害怕麻烦的教师自然都
喜欢采用它。"
1656,3316,"因此，我想，要改革教学方法，就要消除保守观念，建立适应观
念; 就要摆脱习惯势力，培植革新精神; 就要克服怕麻烦的思想，增
强干劲。"
1657,3316,"其结果，必然导致更多地运用课堂提问法、 课堂讨论法等
方法。"
1658,3321,"二、 课堂提问法和讨论法的特质
我们主张更多地采用课堂提问法和讨论法。"
1659,3323,什么是课堂提问法和讨论法? 课堂提问法就是以师生对话的形式
1660,3324,"进行教学的方法; 讨论法则是在教师指导下，通过学生间的对话，实
现教学目的的方法。"
1661,3324,"从历史的发展上说，这两种方法的产生，都具有
和讲授法相对立的义，特别是讨论法，很明显地具有反传统教方法的
特征。"
1662,3324,"我们提倡运用这两种方法，并不是要它们取代讲授法，而是要
它们互相补充，使之相得益彰。"
1663,3331,"课堂提问法和讨论法具有如下的特殊价值:
(一) 能为学生提供思考机会，培植思考能力。"
1664,3331,"思考总是和问题
联结在一起的，有问题才能激起思考。"
1665,3331,"在当今的世界上，思考的学习
乃是教学的中心课题。"
1666,3331,"而语文教学，既是语言的教学，又是思考的教
学。"
1667,3331,语言和思维不可分，培养语言能力，也是培养思考能力。
1668,3331,"什么叫
阅读? 就是通过文字和作者一同思考; 什么叫听话? 就是通过听觉和
说话者一同思考; 而说话和写作，无非就是把自己思考的结果或用口
头形式或用书面形式表达出来。"
1669,3331,"所以，语文教学既训练听说读写能
力，又训练思考能力。"
1670,3331,"而要很好地实现这一目的，就必得提出问题让
学生回答，让学生讨论。"
1671,3331,"这可以说是提问法、 讨论法的一大价值
所在。"
1672,3343,"(二) 可以变独立阅读为集体阅读，通过集思广益，扩大思考领
域。"
1673,3343,这是发展学生智力所必需的。
1674,3343,"社会性问题 (语文课中大部分问题
是社会性问题)，往往不止一个答案，学生回答社会性问题不同于数
学解题。"
1675,3343,数学解题的方式可能不同，但结论只能有一个。
1676,3343,"而社会性问
题的结论，却可能有几个。"
1677,3343,"让学生去寻求相似相近的答案或相异、 相
反的答案，促进创造思维、 求异思维，实在是发展智力的最好办法。"
1678,3349,"同时由于存在不同看法，就会导致讨论、 争辩，从而有利于培养学生
敏捷思考和评价、 批判的能力，有利于培养倾听别人意见，尊重别人
意见的民主作风和习惯。"
1679,3349,这就弥补了独立阅读的不足。
1680,3349,"这可说是提问
法和讨论法的另一特殊价值所在。"
1681,3354,(三) 有利于信息的交流。
1682,3354,教师能够及时了解学生的学习心理状
1683,3355,"态，发现问题，可以适应教学进程，随时更改内容，调整进度，变换
方法。"
1684,3359,(四) 有利于口语能力的培养。
1685,3360,"当然，提问法和讨论法也有不足，比如不利于系统地传递知识，
不利于多样化的书写训练。"
1686,3360,"那种没有启发性的提问，那些无益的讨
论，只能使个别学生表面上积极，而多数学生则处于无所收获的境
地等。"
1687,3365,因此，我们并不提倡无节制地运用提问法和讨论法。
1688,3365,"我们倾向于
在一般阅读课中，以提问和讨论为主，辅以讲授、 研究、 练习等方
法。"
1689,3365,我们倾向于多种方法交错运用，而以一种方法为主。
1690,3369,"在提出问题、 引导学生回答的时候，我们尤其倾向于把问答导向
讨论。"
1691,3369,"当学生展开热烈讨论乃至争辩时，不仅可以呈现最生动活泼的
场面，而且可以产生多种多样的看法，爆发出极活跃的思维火花。"
1692,3369,"一
位深知采用提问法和讨论法的效果的教师，做了一个恰当而生动的比
喻: 一颗孤立、 静止的石子不会爆发火花，两颗运动着的石子互相撞
击，就会火花四射。"
1693,3369,"举世闻名的英国作家萧伯纳对交流思想的效果有
过更为直接恰切的说法。"
1694,3369,"他说: 假如你有一个苹果，我也有一个苹
果，而我们两人交换苹果，其结果，你还是一个苹果，我也还是一个
苹果。"
1695,3369,"但是假如你有一种思想，我也有一种思想，而我们两人交换思
想，那么其结果是，你有了两种思想，我也有了两种思想。"
1696,3369,"萧伯纳的
话清楚地说明，交流思想和交流物质不同，交流物质的结果，数量不
变，而交流思想的结果，不仅数量增加，而且可以产生质变—
—
—产生
更高更深的思想。"
1697,3369,"这种情况，在语文教学中可以说时时都有，本不稀
奇。"
1698,3369,"请大家稍微回想一下，就是在我们自己的教学中，谁没有遇到过
学生在一个问题上表述了几种不同观点的情况? 谁没有遇到过由于引
导讨论的结果促使学生发表了新鲜想法的情况? 而又有谁不期望产生
这种情况? 那么就让我们较多地提问学生思考、 让学生参与讨论吧。"
1699,3389,"三、 课堂教学方法的发展趋势
就我个人所知，近二三十年来，在中小学，除了需要特殊的物质
条件的电化教学方法以外，单就一般的教学方法而言，课堂教学方法
的发展趋势是，教师讲授法的地位逐渐下降，而提问法、 讨论法则越
来越被重视。"
1700,3389,我们国内是这样，国外更是这样。
1701,3395,"在国内，广大语文教师都想摆脱 “ 先生讲，学生听” 的传统教
法，极力寻求打开学生思路、 活跃思维的方法。"
1702,3395,"无数优秀教师在启发
引导学生思考、 发展学生智力方面，已经积累了丰富经验，取得了优
异成绩，而采用的方法，除了学生自读之外，主要是提问的讨论的
方法。"
1703,3401,"至于国外的发展趋势，我们可以引用全国中学语文教学研究会国
外语文教学研究组编写的 《国外阅读教学若干趋向》 一文中的有关介
绍来说明。"
1704,3405,"这篇文章对日本的阅读教学法做了这样的总括性介绍: 日本阅读
教学强调要让学生自己多查阅资料，多读、 多思考、 多讨论。"
1705,3405,"培养学
生独立的阅读习惯，强调学生能自己解释的地方教师就不必多加讲
解。"
1706,3405,"老师除了必要的引导之外，主要是抓住重点提出问题，尽量让学
生通过讨论得出答案。"
1707,3405,最后通过谈感想来扩大阅读的收获。
1708,3411,"提到西德的语文教学，这篇文章介绍说: 西德在试验一种小组教
学法。"
1709,3411,把学生分成五至六人一个小组。
1710,3411,"在上阅读课时，老师围绕所学
x 的课文提出若干问题，让学生在小组中讨论。"
1711,3411,"小组讨论结束后，推
举出小组发言人在大班发言，进行更大范围的讨论。"
1712,3411,"这种小组教学法
对提高学生的阅读能力效果显著。"
1713,3417,"这个国外语文教学研究组早在一九七九年就对在国外学习过的我
国留学生做过调查: 他们大都反映国外语文的阅读课上得生动活泼。"
1714,3420,"由于教材量比较大，老师讲得并不多，而是让学生独立阅读，课堂上
讨论。"
1715,3420,老师一般不对各种意见做完全肯定或完全否定的结论。
1716,3423,"四、 权威性的看法
为了证实前述认识的正确，我们最后再引证一本权威性的著作中
的权威性观点作结。"
1717,3427,"一本曾经由联合国教科文组织的会议专门通过决议强调其重要
性、 并引起了世界各国教育界的广泛称赞的 《学会生存—
—
—世界教育
的今天和明天》 的书籍，对课堂教学方法作了如下的论断:
“学习过程现在正趋向代替教学过程。"
1718,3427,"新的学习理论 (Mathetic)
这一术语正在被用来说明从教到学的转变。”"
1719,3434,"“对于传统学校里那种权威性的讲授知识的方式要重新进行估价，
这就是说，要减少强加在学生身上的束缚 (纪律、 练习、 考试)。"
1720,3434,"学
习者可以在小组内和在互相讨论与课堂讨论中获得知识。”"
1721,3438,"“我们必须教学生如何利用知识来源训练他们自己，以及如何使
用某些工具达到这个目的，这就完全改变了传递知识的结构和权威式
的教学态度。"
1722,3438,"因为这种传递知识的结构和权威式的教学态度，乃是以
法律上把独立负责的成人和具有依赖性而不承担责任的青年分成等级
的办法为基础的。”"
1723,3444,"“教师的职责现在已经越来越少地传递知识，而是越来越多地激
励思考，除了他的正式职能以外，他将越来越成为一位顾问，一位交
换意见的参加者，一位帮助发现矛盾论点而不是拿出现成真理的人。"
1724,3448,"他必须集中更多的时间和精力去从事那些有效果的和有创造性的劳
动: 互相影响、 讨论、 激励、 了解、 鼓舞。"
1725,3448,"如果教师与学生的关系不
按照这个样子发展，他就不是真正民主的教育者。”"
1726,3451,(原载 《中学语文》 1984 年第 3 期)
1727,3453,"作文教育是语文教育的一个重要部分，这在现代的
中国和外国都是一样的。"
1728,3453,"做语文教师的，都在进行着作
文教育，也都在研究着作文教育。"
1729,3453,"但是能够有效地驾驭
作文教育的，可能从来都不占多数。"
1730,3453,"尽管人们为了有效
地控制它，已经付出了巨大的劳动代价，但解决问题的
程度，大概在各种学科中是最差的。"
1731,3460,这并不难理解。
1732,3460,"在各科教育中，语文教育可以说是
最难的而在语文教育内部，作文教育又比阅读教育难。"
1733,3462,"虽然作文教育和阅读教育都包含许多因素或者说许多变
项—
—
—学生的知识，生活领域、 个性、 智力、 兴趣和态
度等，因而要写作或阅读，都需要高度的综合力。"
1734,3462,"但阅
读是理解、 是吸收别人现成的知识和经验; 而作文则相
反，它是创作，是用自己的语言去表达自己的认识和生活。"
1735,3462,"这样，后
者就必然难于前者。"
1736,3462,"其结果是学生的作文能力一般都比阅读能力低，
作文教育成为难以收效的过程。"
1737,3462,"许多人都承认这样的事实在基础教育
阶段，在三种基本技能一读写算中，写作能力是最难形成的。"
1738,3462,"计算教
育成功的事例比比皆是，阅读教育成功的事例也到处可见，唯作文教
育成功的事例，大概是不多的。"
1739,3462,"正因为这样，不断研究作文教学的前
提、 途径和方法就是十分重要的了。"
1740,3476,"一、 作文教学的前提
作文是一项复杂的脑力劳动，作文就需具备一定的前提。"
1741,3476,"自然，
阅读也须具备一定的前提，比如需认识最低数量的文字等。"
1742,3476,"但作文却
需要比阅读更多更不可少的前提。"
1743,3476,"如下几项尤为重要第一，要能引起
学生的写作动机，使他们想写; 第二，要指导学生积蓄一定的生活素
材，使他们有东西写; 第三，要培植学生起码的语言文字运用能力，"
1744,3482,"作
文
教
学
的
前
提
︑
途
径
和
方
法
要
点"
1745,3499,使他们能够写出来。
1746,3501,"(一) 引起写作动机
要作文就必须具有写作动机。"
1747,3501,"归纳起来，人们的写作动机不外三
种: 1. 外在的动机。"
1748,3501,"即不是出于写作者自身的兴趣和愿望，而是由
于外来的要求不得不写。"
1749,3501,"社会上的大部分实用性文章，都是基于这种
外在动机去写作的。"
1750,3501,"在学校里，引不起学生写作欲望的作文，也只有
靠这种外在动机的驱使去写作。"
1751,3501,2. 内在的动机。
1752,3501,"即出于写作者的内
心行动去写作。"
1753,3501,"文学作品，几乎都是作家有了内在的感情冲动写出
的。"
1754,3501,"报刊上读者投书栏里的文章，无不是受着自身感情的驱动而自觉
写出的，所以分外感人。"
1755,3501,"学生自动写出的书信、 日记，也具有同样的
性质，所以也就有感人效果。"
1756,3501,3. 外在和内在动机的一致。
1757,3501,"新闻记者
写报道性文章多半属于这种情况。"
1758,3501,"他们写新闻报道，一方面是自己的
职责，一方面可能在了解情况过程中受到了感动，由外在的动机转向
内在的动机。"
1759,3501,这是外在动机和内在动机结合一致而写出文章的一例。
1760,3514,"在学校里，学生的作文多半是由于外力的强加 (教学本就具有一
定的强制性) 而非出于自愿。"
